Designator,Mid X,Mid Y,Layer,Rotation
C1,186.25,-110.75,Top,-90
C2,186.25,-114.5,Top,90
C3,188.75,-116.25,Top,90
C4,189.0,-119.75,Top,90
C5,185.725,-118.0,Top,0
C6,185.725,-120.25,Top,0
D1,152.25,-112.3875,Top,-90
D2,217.4,-93.65,Top,-90
D3,217.4,-98.65,Top,-90
J1,141.07,-113.7,Top,-90
L1,175.7875,-104.0,Top,180
R1,148.175,-114.75,Top,0
R2,148.005,-111.005,Top,0
R3,171.675,-119.5,Top,0
R5,177.0,-122.075,Top,90
U1,178.25,-112.575,Top,180
U3,152.2,-124.15,Top,-90
U4,164.975,-96.425,Top,180
U5,173.475,-96.445,Top,180
U6,180.725,-122.3875,Top,90
U7,217.3,-103.8625,Top,-90
U11,190.75,-110.025,Top,90
X1,193.6,-113.6,Top,0
